"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D00A195)", , , , ,"D00A195[00400]", , ,"D00A195[00700]"
"Line(05000)", , , , ,"819304"
"Line(05100)", , , , ,"1359736"
"Line(05200)", , , , ,"26750"
"Line(05300)", , , , ,"2020491"
"Line(05400)", , , , ,"562319"
"Line(05700)", , , , ,"65819"
"Line(05800)", , , , ,"258226"
"Line(05900)", , , , ,"521407"
"Line(06000)", , , , ,"2543202"
"Line(06200)", , , , ,"223301"
"Line(06500)", , , , ,"536211"
"Line(06600)", , , , ,"2488742"
"Line(06800)", , , , ,"436611"
"Line(06900)", , , , ,"2764174"
"Line(07000)", , , , ,"1921191"
"Line(07100)", , , , ,"555896"
"Line(07300)", , , , ,"18471357"
"Line(07600)", , , , ,"20"
"Line(07601)", , , , ,"10619"
"Line(07602)", , , , ,"98887"
"Line(07603)", , , , ,"562427"
"Line(07604)", , , , ,"175099"
"Line(07605)", , , , ,"20458"
"Line(09000)", , , , ,"6112246"
"Line(09001)", , , , ,"4289596"
"Line(09100)", , , , ,"7450954"
"Line(09200)", , , , ,"1409970"
"Line(09201)", , , , ,"638713"
"Line(20000)", , , , ,"56343726", , ,"19909403"
