"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (S500000)", ,"S500000[00100]","S500000[00200]","S500000[00300]","S500000[00400]","S500000[00500]"
"Line(00100)", ,"29"
"Line(00200)", ,"3"
"Line(00300)", ,"4"
"Line(00500)", ,"312"
"Line(00600)", ,"12"
"Line(00700)", ,"2"
"Line(00800)", ,"76"
"Line(01001)", ,"N"
"Line(01002)", ,"Y"
"Line(01100)", ,"463"
"Line(01200)", ,"84"
"Line(02100)", ,"X"
"Line(02200)", ,"EPOETIN","240737","39916","175615","34621"
